"","DictionaryLM.positive"
"193","impressively"
"194","improve"
"195","improved"
"196","improvement"
"197","improvements"
"198","improves"
"199","improving"
"200","incredible"
"201","incredibly"
"202","influential"
"203","informative"
"204","ingenuity"
"205","innovate"
"206","innovated"
"207","innovates"
"208","innovating"
"209","innovation"
"210","innovations"
"211","innovative"
"212","innovativeness"
"213","innovator"
"214","innovators"
"215","insightful"
"216","inspiration"
"217","inspirational"
"218","integrity"
"219","invent"
"220","invented"
"221","inventing"
"222","invention"
"223","inventions"
"224","inventive"
"225","inventiveness"
"226","inventor"
"227","inventors"
"228","leadership"
"229","leading"
"230","loyal"
"231","lucrative"
"232","meritorious"
"233","opportunities"
"234","opportunity"
"235","optimistic"
"236","outperform"
"237","outperformed"
"238","outperforming"
"239","outperforms"
"240","perfect"
"241","perfected"
"242","perfectly"
"243","perfects"
"244","pleasant"
"245","pleasantly"
"246","pleased"
"247","pleasure"
"248","plentiful"
"249","popular"
"250","popularity"
"251","positive"
"252","positively"
"253","preeminence"
"254","preeminent"
"255","premier"
"256","premiere"
"257","prestige"
"258","prestigious"
"259","proactive"
"260","proactively"
"261","proficiency"
"262","proficient"
"263","proficiently"
"264","profitability"
"265","profitable"
"266","profitably"
"267","progress"
"268","progressed"
"269","progresses"
"270","progressing"
"271","prospered"
"272","prospering"
"273","prosperity"
"274","prosperous"
"275","prospers"
"276","rebound"
"277","rebounded"
"278","rebounding"
"279","receptive"
"280","regain"
"281","regained"
"282","regaining"
"283","resolve"
"284","revolutionize"
"285","revolutionized"
"286","revolutionizes"
"287","revolutionizing"
"288","reward"
"289","rewarded"
"290","rewarding"
"291","rewards"
"292","satisfaction"
"293","satisfactorily"
"294","satisfactory"
"295","satisfied"
"296","satisfies"
"297","satisfy"
"298","satisfying"
"299","smooth"
"300","smoothing"
"301","smoothly"
"302","smooths"
"303","solves"
"304","solving"
"305","spectacular"
"306","spectacularly"
"307","stability"
"308","stabilization"
"309","stabilizations"
"310","stabilize"
"311","stabilized"
"312","stabilizes"
"313","stabilizing"
"314","stable"
"315","strength"
"316","strengthen"
"317","strengthened"
"318","strengthening"
"319","strengthens"
"320","strengths"
"321","strong"
"322","stronger"
"323","strongest"
"324","succeed"
"325","succeeded"
"326","succeeding"
"327","succeeds"
"328","success"
"329","successes"
"330","successful"
"331","successfully"
"332","superior"
"333","surpass"
"334","surpassed"
"335","surpasses"
"336","surpassing"
"337","transparency"
"338","tremendous"
"339","tremendously"
"340","unmatched"
"341","unparalleled"
"342","unsurpassed"
"343","upturn"
"344","upturns"
"345","valuable"
"346","versatile"
"347","versatility"
"348","vibrancy"
"349","vibrant"
"350","win"
"351","winner"
"352","winners"
"353","winning"
"354","worthy"
